,hospital_name,hospital_phone,hospital_address
868,내방동물병원,3473-8274,서울특별시 서초구 방배동 898번지 3호
869,내서동물병원,055-232-0975,경상남도 창원시 마산회원구 내서읍 삼계리 27번지 2호 웰빙플라자
870,내성동물병원,054-672-7585,경상북도 봉화군 봉화읍 내성리 426번지 41호
871,내아이 동물병원,***********,충청북도 청주시 상당구 용암동 3157번지 칸타빌 더 테라스 2단지
872,내안에 동물병원,041-572-7577,충청남도 천안시 동남구 신방동 1번지 7호
873,내친구동물병원,031-497-4479,경기도 시흥시 배곧동 193번지 1호 배곧프라자
874,내친구동물병원,031-568-0075,경기도 구리시 수택동 660번지 7호
875,내포동물병원,***********,충청남도 홍성군 홍성읍 월산리 836번지 3호
876,내포동물의료센터,***********,충청남도 홍성군 홍북읍 신경리 553번지 성원타워
877,내포조은동물병원,041-631-2202,충청남도 홍성군 홍북읍 신경리 1181번지 승우빌딩
878,내품애동물병원,558-9119,경기도 남양주시 와부읍 덕소리 141번지 70호
879,내품에동물병원,02-477-1775,
880,네오메디컬동물병원,051-291-4545,부산광역시 강서구 명지동 3442번지 4호
881,넬 동물의료센터,02-6925-4347,서울특별시 성북구 하월곡동 76번지 16호
882,넬에이엠씨,031-421-7579,"경기도 안양시 동안구 평촌동 897번지 평촌칼라힐주차빌딩 129,130,131호"
883,노룬산동물병원,464-2748,서울특별시 광진구 자양동 236번지 127호
884,노블동물병원,055-266-7975,경상남도 창원시 성산구 반림동 15번지
885,노블동물병원,051-982-2580,"부산광역시 동래구 사직동 64번지 24호 1,2층"
886,노산동물병원,,경상남도 사천시 동금동 141번지 3호
887,노성남 동물병원,032-833-1770,인천광역시 연수구 옥련동 196번지
888,노아 동물병원,032-874-2202,인천광역시 미추홀구 도화동 0번지 도화프라자
889,노아동물병원,805-4758,서울특별시 금천구 시흥동 262번지 6호
890,노아동물병원,343-7588,부산광역시 북구 화명동 2337번지 화명2차동원로얄듀크비스타
891,노아동물병원,02-401-0075,서울특별시 송파구 거여동 562번지 4호
892,노아동물병원,***********,충청남도 계룡시 엄사면 엄사리 243번지 1호
893,노아동물병원,0226546183,서울특별시 양천구 신정동 294번지 62호
894,노아동물병원,031-246-1254,경기도 수원시 장안구 영화동 394번지 4호
895,노아동물병원,754-3058,충청남도 금산군 금산읍 중도리 337번지 3호 6통 5반
896,노아동물병원,062-363-4860,광주광역시 남구 월산동 930번지 18호
897,노엘동물병원,2477575,경기도 부천시 범박동 32번지 6호 범박동 근린생활시설
898,노원 바른 동물의료센터,02-936-5500,서울특별시 노원구 상계동 964번지 5호 부흥빌딩
899,노원N동물의료센터,919-0075,서울특별시 노원구 상계동 318번지 2호 (주)노원24시동물의료센터
900,노은동물병원,477-1175,대전광역시 유성구 지족동 910번지 24호
901,노창섭동물병원,***********,광주광역시 광산구 우산동 1040번지 4호
902,노형 꿈 동물병원,064-744-1128,제주특별자치도 제주시 노형동 2924번지 2호
903,노형동물병원,759-7975,제주특별자치도 제주시 노형동 683번지 1호 천마에코피아2차
904,녹번동물병원,354-4110,서울특별시 은평구 녹번동 117번지 112호
905,녹십자,041-551-5989,충청남도 천안시 동남구 영성동 67번지 3호 18통 3반
906,녹십자동물병원,041-835-2879,충청남도 부여군 부여읍 구아리 141번지 5호
907,녹십자동물병원,054-435-7533,경상북도 김천시 황금동 102번지 1호
908,녹십자동물병원,063-532-5652,전라북도 정읍시 시기동 96번지 6호 녹십자동물병원
909,녹십자동물병원,943-8288,광주광역시 광산구 송정동 576번지 57호
910,녹양돌봄동물병원,,경기도 의정부시 녹양동 326번지 5호
911,녹양동물병원,855-0275,경기도 의정부시 녹양동 354번지 1호
912,녹원동물병원,346-0878,경상남도 김해시 한림면 장방리 1063번지 1호
913,논산계룡축협 동물병원,,충청남도 논산시 내동 931번지
914,논산계룡축협 동물병원,041-730-2200,충청남도 논산시 내동 931번지
915,논산동물병원,735-3113,충청남도 논산시 대교동 112번지 1호 2통
916,논산시 동물보호센터 더함,041-746-8474,충청남도 논산시 등화동 534번지 1호
917,논현동물병원,423-0975,인천광역시 남동구 논현동 751번지 1호
918,논현동물병원,02-3442-3785,서울특별시 강남구 논현동 181번지 8호 1층
919,놀로동물행동클리닉,02-2237-7582,서울특별시 강남구 청담동 46번지 베디베로스퀘어
920,농림축산검역본부 부설 동물병원,054-912-0473,경상북도 김천시 율곡동 960번지 농림축산검역본부
921,농협 한우개량사업소 가축병원,041-661-4681,충청남도 서산시 운산면 용현리 982번지 농협중앙회가축개량사업소별관
922,누리동물병원,054-333-0275,
923,누리동물병원,051-701-7599,부산광역시 해운대구 송정동 85번지 1호
924,누리동물병원,***********,전라북도 군산시 월명동 26번지 13호
925,누리동물병원,***********,충청북도 음성군 대소면 성본리 380번지 35호 대왕하이텍공구타운B단지 가 108
926,누리동물병원,***********,전라남도 나주시 동수동 386번지 3호
927,누리동물병원,8003-7588,경기도 화성시 반송동 218번지 2호 가희프라자2
928,누리동물병원,792-4904,경기도 하남시 신장동 528번지 5호
929,누리봄동물병원,02-735-7530,서울특별시 종로구 내자동 125번지 3호
930,누리종합동물병원,033-761-0167,강원특별자치도 원주시 단구동 1512번지 2호 광장빌딩
931,누리팜산업동물병원(출장전문),031-665-5740,경기도 안성시 삼죽면 용월리 16번지 1호
932,눈이튼튼 동물병원,031-526-7333,경기도 수원시 팔달구 인계동 1114번지 10호 인송빌딩
933,뉴광명동물메디컬센터,2060-7577,경기도 광명시 광명동 158번지 1185호
934,뉴본동물의료센터,031-647-6679,경기도 평택시 동삭동 0번지
935,뉴에스동물병원,031-397-0071,경기도 군포시 산본동 1132번지 창선빌딩
936,뉴엘동물의료센터,0313737588,경기도 화성시 청계동 514번지 4호
937,뉴욕동물병원,02-762-7582,서울특별시 종로구 혜화동 53번지 11호 2층
938,뉴욕동물병원,***********,경기도 성남시 분당구 구미동 177번지 그랜드프라자
939,뉴욕동물병원,555-2119,부산광역시 동래구 수안동 4번지 17호
940,뉴욕동물병원「산업동물 출장진료 전문」,***********,경기도 이천시 관고동 20번지 14호
941,뉴욕종합동물병원,02-333-9558,서울특별시 마포구 서교동 395번지 44호
942,뉴월드동물병원,02-2212-5233,서울특별시 동대문구 장안동 186번지 12호
943,뉴케어동물병원,***********,경기도 용인시 기흥구 영덕동 989번지 6호
944,뉴타운동물병원,385-8275,서울특별시 은평구 진관동 20번지 상림마을 821동 101호
945,뉴하트동물병원,031-928-6356,경기도 의정부시 산곡동 690번지 1호 센타프라자
946,늘 동물병원,,대전광역시 중구 은행동 170번지 26호
947,늘 푸른 동물병원,271-7582-3,충청북도 청주시 흥덕구 봉명동 171번지 2호
948,늘봄 동물병원,0323465454,경기도 부천시 소사본동 160번지 29호
949,늘봄 동물병원,041-585-7575,충청남도 천안시 서북구 직산읍 삼은리 76번지 118호
950,늘봄 동물병원,,경기도 양주시 옥정동 963번지 6호 신운정튼튼프라자
951,늘봄동물병원,031-986-7588,경기도 김포시 구래동 6883번지 11호
952,늘봄동물병원,***********,경상북도 경산시 하양읍 금락리 116번지 157호
953,늘사랑 양한방 동물병원,061-686-0275,전라남도 여수시 선원동 1269번지 4호
954,늘사랑동물병원,02-442-2223,
955,늘솜동물병원,031-423-4033,경기도 의왕시 포일동 546번지 호성상가
956,늘조은동물병원,055-748-7391,경상남도 진주시 평거동 193번지 10호 라비안 빌딩 1층
957,늘푸른 동물병원,***********,경상북도 구미시 도량동 316번지
958,늘푸른 동물병원,063-281-0075,전라북도 전주시 완산구 다가동3가 24번지 9호
959,늘푸른 동물병원,826-7509,대전광역시 유성구 지족동 980번지 9호
960,늘푸른 동물병원,***********,광주광역시 남구 봉선동 1080번지 남양휴튼 B 103
961,늘푸른동물병원,02-449-0101,서울특별시 송파구 오금동 17번지 2호 우일빌딩
962,늘푸른동물병원,388-3008,서울특별시 은평구 신사동 20번지 24호
963,늘푸른동물병원,507-0075,인천광역시 부평구 삼산동 54번지 2호
964,늘푸른동물병원,02-857-7572,서울특별시 관악구 신림동 727번지 21호 1층
965,늘푸른동물병원두정의료센터,***********,충청남도 천안시 서북구 성정동 434번지 9호
966,늘푸른종합동물병원,053-322-9075,대구광역시 북구 관음동 1386번지 7호
967,늘푸른종합동물병원,033-747-7585,강원도 원주시 무실동 1723번지 2호
968,늘품동물병원,***********,"충청북도 청주시 서원구 분평동 1425번지 THE STYLE 108,109,110"
969,능곡동물병원,031-317-7234,경기도 시흥시 능곡동 762번지 송죽센타프라자
970,능주동물병원,***********,전라남도 화순군 능주면 관영리 95번지
971,다가온 동물병원,031-655-7533,경기도 안성시 공도읍 용두리 752번지
972,다나 동물병원,031-211-7525,경기도 수원시 영통구 매탄동 923번지 6호
973,다나동물병원,***********,서울특별시 동작구 사당동 1019번지 54호 오사빌딩 1층
974,다나동물병원,365-1491,광주광역시 서구 화정동 94번지 10호
975,다나동물병원,***********,충청북도 청주시 청원구 오창읍 양청리 720번지 12호 가담향빌(지하)
976,다나동물병원,,전라남도 해남군 해남읍 고도리 106번지 32호 해남축협고도지점
977,다나동물병원,033-563-6563,강원특별자치도 정선군 정선읍 봉양리 321번지
978,다나동물병원,063-537-1041,전라북도 정읍시 장명동 80번지 1호 다나동물병원
979,다나동물병원,,서울특별시 강서구 화곡동 313번지 목동신시가지 아파트 902-203
980,다나동물병원,***********,전라남도 영암군 영암읍 동무리 47번지 15호
981,다나동물병원,064)757-7577,제주특별자치도 제주시 일도이동 359번지 13호
982,다나동물병원,323-2737,경기도 부천시 상동 523번지 10호
983,다나동물병원,033-764-7522,강원도 원주시 무실동 1784번지 1호
984,다나동물병원(산업동물에 대한 출장진료를 전문으로 함.),***********,충청남도 천안시 동남구 수신면 속창리 134번지 6호
985,다나동물의료센터,0319447975,경기도 파주시 동패동 2080번지 3호
986,다나아 동물병원,033-435-7279,강원도 홍천군 홍천읍 하오안리 47번지 13호
987,다나은 동물병원,062-971-1275,광주광역시 광산구 쌍암동 694번지 45호 루빌코리아
988,다나은동물병원,***********,경상북도 구미시 선산읍 동부리 552번지 4호
989,다나을동물병원,031-8027-0975,"경기도 하남시 망월동 1125번지 미사역 파라곤 스퀘어, 2002,2002-1,2003호"
990,다나음동물병원,917-2075,전라북도 익산시 함열읍 와리 198번지 5호 상가
991,다니엘 동물병원,908-5857,경기도 고양시 일산동구 마두동 751번지 2호
992,다니엘동물병원,02-585-0087,서울특별시 서초구 서초동 1486번지 2호 삼양빌딩
993,다대동물병원,266-7582,부산광역시 사하구 다대동 909번지
994,다도해동물병원,***********,전라남도 해남군 북평면 남창리 295번지 2호
995,다독다독동물병원,055-331-7582,경상남도 김해시 대청동 298번지 6호 오즈빌딩
996,다돈동물병원,***********,경상북도 경주시 안강읍 청령리 747번지 4호
997,다란동물병원,***********,경기도 여주시 하거동 646번지 1호
998,다랑동물병원,02-577-7579,서울특별시 강남구 개포동 1281번지 디에이치아너힐즈
999,다래동물병원,02-474-0117,
1000,다루동물병원,02-356-8353,서울특별시 은평구 불광동 554번지 1호 1층
1001,다민동물병원,063-291-0727,전라북도 익산시 춘포면 쌍정리 107번지
1002,다보가축병원,746-3344,경상북도 경주시 구정동 429번지 7호 불국공설시장
1003,다봄 동물의료센터,055-331-7575,경상남도 김해시 삼계동 1505번지 4호 코아루센텀 오피스텔
1004,다빈치동물병원,031-875-7553,경기도 의정부시 호원동 454번지 23호
1005,다사랑동물병원,042-628-0075,대전광역시 동구 가양동 31번지 7호
1006,다사랑동물병원,031-385-7588,경기도 안양시 동안구 관양동 1598번지 평촌샤르망오피스텔
1007,다사종합동물병원,***********,대구광역시 달성군 다사읍 죽곡리 23번지 6호
1008,다산 봄 동물병원,031-551-1175,"경기도 남양주시 다산동 6217번지 3호 다산지금지구 근생7-3, 7-4"
1009,다산동물병원,511-0304,경기도 남양주시 다산동 4135번지 5호 대진빌딩
1010,다산동물병원,,전라남도 강진군 강진읍 남성리 28번지 12호
1011,다산동물병원,064-787-0582,제주특별자치도 서귀포시 표선면 토산리 453번지 1호
1012,다산동물병원,***********,충청남도 천안시 동남구 청수동 261번지 청솔LG아파트 상가 지하1층1호
1013,다산동물병원,536-8275,전라북도 정읍시 농소동 73번지 26호 (유)동성건설
1014,다산동물병원 「산업동물에 대한 출장진료를 전문으로 함」,643-7582,경기도 이천시 장호원읍 장호원리 392번지 2호
1015,다산마리동물병원,5657553,"경기도 남양주시 다산동 6053번지 다산진건지구 상업2-7-1,2"
1016,다솜고양이메디컬센터,051)636-7582,부산광역시 남구 문현동 403번지 7호 다솜 동물 병원
1017,다솜동물메디컬센터,051-632-7580,부산광역시 남구 문현동 403번지 7호 다솜 동물 병원
1018,다솜동물병원,579-8252,충청남도 천안시 동남구 신방동 49번지 14호 이화빌딩
1019,다솜동물병원,0234777677,서울특별시 은평구 응암동 603번지 52호
1020,다솜동물병원,0337488275,강원도 원주시 단계동 1175번지 2호
1021,다솜동물병원,***********,광주광역시 남구 백운동 348번지 1호
1022,다솜동물병원,032-351-3031,경기도 부천시 역곡동 108번지 역곡시장
1023,다솜동물병원,977-8575,경상북도 칠곡군 왜관읍 왜관리 298번지 1호
1024,다솜동물병원,533-0935,충청북도 진천군 진천읍 교성리 45번지 6호
1025,다오동물병원,032-548-0275,"인천광역시 계양구 계산동 1062번지 하이베라스 123,124호 D"
1026,다온 동물병원,051-622-2171,부산광역시 남구 대연동 1858번지 대연힐스테이트푸르지오
1027,다온동물병원,053-312-7975,대구광역시 북구 태전동 1113번지
1028,다온동물병원,031-689-5975,"경기도 안양시 동안구 평촌동 922번지 1호 , 평촌동 916"
1029,다온동물병원,0448657579,세종특별자치시 소담동 37번지 3호 코끼리타워
1030,다온동물병원,02-2643-8204,서울특별시 양천구 신정동 1052번지 3호
1031,다온동물병원,499-7582,서울특별시 광진구 중곡동 193번지 29호
1032,다온동물병원,054-471-0089,경상북도 구미시 인의동 702번지 6호
1033,다온동물병원,***********,전라북도 완주군 고산면 읍내리 882번지
1034,다온동물병원,***********,경상북도 의성군 안계면 용기리 848번지 23호
1035,다올동물병원,0555477552,경상남도 창원시 진해구 용원동 1205번지 5호 1층
1036,다올동물의료센터 망포점,031-239-0208,경기도 수원시 영통구 망포동 41번지 1호 망포역 포레 스퀘어
1037,다우동물병원,***********,경기도 김포시 감정동 512번지 1호
1038,다움동물병원,02-831-0075,서울특별시 영등포구 신길동 324번지 49호 영민빌딩 1층
1039,다원 동물병원,***********,대구광역시 수성구 신매동 183번지
1040,다원동물병원,***********,경상북도 경산시 와촌면 동강리 140번지
1041,다원축산동물병원,,대전광역시 유성구 원내동 101번지 5호
1042,다인동물병원,***********,"경상북도 안동시 태화동 231번지 23호 1층, 우측"
1043,다정동물병원,031-944-5077,경기도 파주시 야당동 1006번지 3호 한강프라자
1044,다정한 동물병원,02-2135-1350,"경기도 하남시 감이동 440번지 2호 퀸즈에비뉴 ,2층 217,218,219호"
1045,다정한동물메디컬센터,044-864-7579,세종특별자치시 다정동 659번지 이도빌딩
1046,다함동물병원,041-554-0075,충청남도 천안시 서북구 백석동 150번지 2호
1047,다호동물병원,***********,경상북도 의성군 봉양면 화전리 78번지 8호
1048,다호문가축병원,796-2050,제주특별자치도 제주시 한림읍 한림리 1454번지 3호 영성주택
1049,닥터 노아 동물병원,054-284-0775,경상북도 포항시 남구 대잠동 936번지 10호
1050,닥터 아이펫 동물병원,2208-0329,서울특별시 중랑구 상봉동 99번지 10호
1051,닥터 전 동물병원,523-7975,충청남도 천안시 서북구 불당동 1492번지 천안불당파크푸르지오1단지
1052,닥터 펫 에이스 동물병원,042-585-7533,대전광역시 중구 산성동 280번지 7호
1053,닥터 호오 동물병원,02-715-0075,서울특별시 마포구 용강동 494번지 68호
1054,닥터 홍 동물병원,063-581-7582,전라북도 부안군 부안읍 서외리 432번지 21호
1055,닥터K동물병원,401-0275,경기도 안산시 단원구 초지동 734번지 6호 한미타워
1056,닥터각 동물병원,261-2524,강원도 춘천시 퇴계동 164번지 3호 하나로마트(퇴계점)
1057,닥터강동물병원,246-3123,울산광역시 중구 태화동 37번지 7호
1058,닥터김 동물병원,031-203-8277,경기도 수원시 영통구 영통동 958번지 1호
1059,닥터김 동물의료센터,680-0975,경상남도 거제시 고현동 989번지 13호 해원빌딩
1060,닥터리동물병원,***********,대전광역시 동구 가오동 644번지 제이타워
1061,닥터멍동물병원,439-7582,서울특별시 중랑구 면목동 71번지 41호
1062,닥터서동물심장병원,031-994-7953,경기도 고양시 일산동구 장항동 1758번지 1호 일산 한류월드 유보라 더 스마트
1063,닥터수동물병원,061-653-7585,전라남도 여수시 문수동 188번지 6호
1064,닥터스종합동물병원,02-905-7588,서울특별시 노원구 월계동 292번지 59호 상천빌딩1층
1065,닥터에이스 동물병원,031-203-7501,경기도 수원시 영통구 망포동 417번지 2호
1066,닥터원동물병원,031-432-6991,경기도 시흥시 정왕동 월드프라자
1067,닥터윤 산업동물병원,033-742-8635,강원도 원주시 단계동 100번지 84호
1068,닥터임 동물병원,02-509-1924,경기도 과천시 주암동 685번지 18호
1069,닥터정 동물병원,032-721-7582,인천광역시 연수구 송도동 98번지 2호 송도아라플라자
1070,닥터주 동물병원,731-7530,부산광역시 해운대구 좌동 1340번지 3호 피렌체오피스텔
1071,닥터차 동물병원,***********,충청남도 홍성군 홍북읍 신경리 587번지
1072,닥터차동물병원,041-3317582,충청남도 예산군 예산읍 산성리 304번지 16호
1073,닥터캣 고양이병원,02-2039-2575,서울특별시 송파구 석촌동 15번지 제우빌딩 2층
1074,닥터코기동물병원,489-8834,대전광역시 서구 탄방동 710번지 로고스빌딩
1075,닥터파파동물병원,032-863-7582,인천광역시 미추홀구 주안동 1309번지
1076,닥터팬더 동물병원,032-553-7975,인천광역시 계양구 용종동 207번지 1호 인천 계양 코아루 센트럴파크
1077,닥터페티앙동물병원,0313357578,경기도 용인시 처인구 남동 71번지 48호
1078,닥터펫 동물의료센터,051-891-8575,부산광역시 부산진구 개금동 198번지 1호 개금블루스카이
1079,닥터펫동물병원,2643-0283,서울특별시 양천구 목동 919번지 7호 홈플러스목동점
1080,닥터펫동물병원,***********,전라북도 전주시 완산구 서신동 989번지 2호
1081,닥터펫동물의료센터,02-3443-8275,서울특별시 강남구 삼성동 35번지 3호 1층
1082,닥터펫보리 특수클리닉,,서울특별시 관악구 봉천동 300번지 17호 관악구재향군인회
1083,닥터표동물병원,02-484-4063,서울특별시 강동구 성내동 322번지 7호 1층
1084,단비동물병원,055-945-5475,경상남도 거창군 거창읍 상림리 155번지 169호 건강체육관
1085,달래동물의료센터,794-1255,서울특별시 용산구 한남동 707번지 36호 한남프라자 2층
1086,달링동물병원,02-466-8215,서울특별시 성동구 성수동1가 718번지 트리마제
1087,달맞이 호두네 동물병원,746-7077,부산광역시 해운대구 중동 1512번지 해운대 달맞이 유림 노르웨이숲 상가 305
1088,달빛동물병원,031-875-1559,경기도 의정부시 호원동 454번지
1089,달성공원 동물병원,803-7370,대구광역시 중구 달성동 294번지 1호 달성공원
1090,달성축산동물병원,***********,대구광역시 달성군 현풍읍 원교리 588번지
1091,달성축협동물병원,611-6203,대구광역시 달성군 현풍읍 대리 186번지
1092,담양군 반려유기동물 공공진료소,061-380-2736,전라남도 담양군 담양읍 지침리 34번지 2호
1093,담양축협동물병원,061-380-5588,전라남도 담양군 담양읍 백동리 342번지
1094,담은동물병원,02-356-9475,"서울특별시 은평구 불광동 643번지 북한산 힐스테이트7차, 상가동 지하2층 128호, 지하1층 228호"
1095,답21동물병원,***********,충청남도 서산시 예천동 1300번지 7호
1096,당감동물병원,897-7271,부산광역시 부산진구 당감동 430번지 2호
1097,당고개동물병원,02-932-7582,서울특별시 노원구 상계동 71번지 225호 23통 5반
1098,당진낙협동물병원,350-8700,충청남도 당진시 합덕읍 소소리 513번지 20호
1099,당진낙협동물병원,,충청남도 당진군 합덕읍 소소리 513번지 20호
1100,당진종합 동물병원,352-6141,충청남도 당진시 대덕동 1652번지
1101,당진종합 동물병원,,충청남도 당진군 당진읍 대덕리 1652번지
1102,당진축협동물병원,041-350-5568,충청남도 당진시 읍내동 산66번지 2호
1103,당찬우리동물병원,***********,충청남도 당진시 합덕읍 운산리 301번지 3호
1104,대가야동물병원,,경상북도 고령군 고령읍 지산리 232번지 21호
1105,대경동물병원,***********,경상북도 구미시 선산읍 화조리 188번지
1106,대경동물병원,782-0210,대구광역시 동구 신천동 137번지 4호
1107,대경연합동물영상센터,053-721-7565,대구광역시 달서구 감삼동 140번지 32호
1108,대곡동물병원,055-745-7615,경상남도 진주시 대곡면 광석리 313번지 4호
1109,대공원 동물병원,258-2520,울산광역시 남구 신정동 1873번지 대공원코오롱파크폴리스
1110,대관령,***********,충청남도 공주시 산성동 174번지 39호 3통 5반
1111,대관령 가축병원,***********,경상북도 예천군 예천읍 남본리 222번지 139호
1112,대관령가축병원,,경상북도 영천시 완산동 891번지
1113,대관령동물병원,591-7270,경기도 남양주시 금곡동 427번지 28호 성원빌딩
1114,대구24시 야간응급연합동물병원,053-767-1190,대구광역시 수성구 지산동 1051번지 3층
1115,대구24시동물병원,053-352-8277,대구광역시 북구 노원동1가 1번지 8호
1116,대구24시라이프동물의료센터,053-567-2475,대구광역시 달서구 감삼동 69번지 1호
1117,대구24시바른동물의료센터,053-571-0075,대구광역시 달서구 감삼동 280번지 5호 2층
1118,대구S동물병원,426-7588,"대구광역시 중구 대신동 305번지 1호 4통 4반 태왕아너스스카이 상가 101호, 102호, 103호"
1119,대구가축병원,,대구광역시 군위군 군위읍 동부리 396번지 1호 2통
1120,대구가축병원,***********,경상북도 울진군 울진읍 읍내리 296번지 7호 스피드텔레콤
1121,대구가축병원,054-858-2233,경상북도 안동시 노하동 773번지 90호
1122,대구경북양돈농협 동물병원,***********,대구광역시 달서구 월성동 1871번지
1123,대구동물메디컬센터,053-765-7877,대구광역시 수성구 지산동 1051번지
1124,대구동물병원,426-7011,대구광역시 동구 신천동 538번지 22호
1125,대구동물심장내과,423-8275,대구광역시 중구 대봉동 195번지 31호
1126,대구착한동물병원,053-710-7582,대구광역시 달성군 다사읍 서재리 181번지
1127,대구축산 동물병원,053-424-9944,대구광역시 중구 대봉동 715번지 15호
1128,대구축협동물병원,053-384-9907,대구광역시 북구 검단동 700번지 2호
1129,대구혁신메디컬 동물병원,,대구광역시 동구 대림동 890번지 2호
1130,대덕 동물병원,061-867-3235,전라남도 장흥군 대덕읍 신월리 103번지 4호
1131,대동동물병원,052-262-1076,울산광역시 울주군 언양읍 동부리 133번지 3호
1132,대동동물병원,063-352-5998,전라북도 장수군 장계면 장계리 197번지 12호
1133,대디동물병원,0518065000,부산광역시 부산진구 부암동 318번지 76호 협성휴포레시티즌파크아파트
1134,대명동물병원,673-3185,강원도 양양군 양양읍 남문리 167번지 4호
1135,대방동물병원,,경상남도 창원시 중앙동 95번지 4호 창원종합상가1층2호
1136,대방동물병원,833-0309,서울특별시 영등포구 신길동 628번지
1137,대방동물병원,055-275-0076,경상남도 창원시 성산구 중앙동 95번지 3호 공성상가
1138,대산,564-8987,전라북도 고창군 대산면 매산리 244번지 19호
1139,대산 동물병원,0416333715,충청남도 홍성군 홍성읍 고암리 948번지
1140,대산서울동물병원,***********,경상남도 창원시 의창구 대산면 제동리 821번지 2호 2층
1141,대성동물병원,317-7558,부산광역시 사상구 주례동 519번지 62호
1142,대성동물병원,***********,경상북도 상주시 만산동 696번지 6호
1143,대성동물병원,***********,전라북도 정읍시 상평동 95번지 2호
1144,대성동물병원,***********,경상남도 고성군 영오면 영산리 200번지 11호
1145,대성동물병원,***********,전라남도 장흥군 장흥읍 건산리 670번지 수창상가
1146,대소동물병원,0438837511,충청북도 음성군 대소면 태생리 519번지
1147,대신동물병원,051-254-2304,부산광역시 서구 서대신동3가 490번지 1호
1148,대심동물병원,054-655-8290,경상북도 예천군 예천읍 서본리 72번지 3호
1149,대심동물병원,031-962-1588,경기도 고양시 덕양구 관산동 185번지 도광빌딩
1150,대영동물병원,063-246-7155,전라북도 전주시 덕진구 산정동 800번지 11호
1151,대영동물병원,***********,전라남도 완도군 완도읍 군내리 782번지 105호
1152,대영동물병원,,전라북도 김제시 검산동 488번지 10호
1153,대영동물병원,***********,전라북도 정읍시 시기동 82번지 10호
1154,대우동물병원,,전라남도 함평군 함평읍 내교리 211번지 11호 11통 4반
1155,대운 동물병원,054-331-3375,경상북도 영천시 화룡동 282번지 4호
1156,대웅동물병원,353-6666,경상남도 밀양시 내이동 725번지 5호
1157,대원가축병원,054-772-4488,경상북도 경주시 동부동 133번지 7호
1158,대일종합동물병원,051-529-2991,부산광역시 동래구 안락동 299번지 3호
1159,대전24시 센트럴동물병원,042-719-7779,대전광역시 중구 용두동 119번지 6호 1층
1160,대전광역시 동물보호센터 부속 동물병원,042-825-1118,대전광역시 유성구 금고동 583번지
1161,대전본동물병원,042-546-7588,대전광역시 서구 관저동 1952번지 3호
1162,대전야생동물구조관리센터 동물병원,0428217930,대전광역시 유성구 궁동 220번지 충남대학교
1163,대전우리동물의료센터,042-222-1117,"대전광역시 중구 대사동 248번지 365호 1,2층"
1164,대전종합 동물병원,532-7588,대전광역시 서구 갈마동 1438번지 동원빌딩
1165,대전충남 양돈축산업협동조합 부설동물병원,***********,충청남도 천안시 동남구 다가동 373번지 3호
1166,대전충남양계농협 양계전문동물병원,041-590-5003,충청남도 천안시동남구 원성동 480번지 5호
1167,대전충청 영상안과 동물병원,***********,대전광역시 서구 둔산동 1276번지
1168,대정동물병원,064-792-7580,제주특별자치도 서귀포시 대정읍 상모리 3723번지 1호
1169,대치동물메디컬센터,02-501-8275,서울특별시 강남구 대치동 990번지 1호 무진빌딩
1170,대치수동물병원,02-539-3339,"서울특별시 강남구 대치동 316번지 은마상가 1층 B120, B121 101 801"
1171,대학동물병원,559-7581,경기도 남양주시 화도읍 마석우리 541번지 5호
1172,대학동물병원,261-8277,경기도 용인시 수지구 풍덕천동 666번지 1호
1173,대학동물병원,918-3344,서울특별시 성북구 장위동 8번지 2호 석계역 한일노벨리아시티
1174,대학동물병원,841-0711,전라북도 익산시 창인동1가 229번지 3호 4통 1반
1175,대학동물병원,482-0075,경기도 안산시 상록구 월피동 445번지 4호
1176,대학로동물병원,3672-8441,서울특별시 종로구 명륜2가 5번지 99호 1통 3반 방산빌라
1177,대한동물병원,***********,경기도 포천시 영북면 운천리 518번지 7호
1178,대한동물병원,061-533-7582,전라남도 해남군 해남읍 고도리 479번지 6호
1179,대한동물병원,042-822-5081,대전광역시 유성구 장대동 280번지 6호
1180,대한동물병원,,경기도 화성시 우정읍 조암리 533번지
1181,대한동물병원,343-8484,강원도 횡성군 횡성읍 읍하리 556번지 5호
1182,대한동물병원,2263-6134,서울특별시 중구 충무로4가 93번지 1호
1183,대한동물병원,535-4276,전라북도 정읍시 장명동 164번지 4호 누나분식
1184,대한동물병원,2694-4821,서울특별시 강서구 화곡동 1059번지 51호
1185,대한동물병원(산업동물 출장진료 전문 동물병원),***********,경기도 파주시 금촌동 27번지 30호 2층
1186,대한동물병원(출장전문),676-9608,경기도 안성시 죽산면 죽산리 131번지 7호
1187,대현동물병원,2651-1855,서울특별시 양천구 목동 531번지 13호
1188,대형동물병원,998-1785,서울특별시 강북구 수유동 266번지 20호
1189,대호동물병원,051-256-1188,부산광역시 서구 토성동5가 34번지 3호 해오름상가1층
1190,대호동물병원,054-247-7582,경상북도 포항시 남구 오천읍 원리 893번지 4호
1191,대흥동물병원,054-249-2100,경상북도 포항시 북구 장성동 1554번지 15호
1192,대흥동물병원,629-8111,대구광역시 남구 대명동 332번지 16호 17통 2반
1193,더 가까운 동물병원,043-543-5575,충청북도 보은군 보은읍 이평리 173번지 상가
1194,더 샵 동물메디컬센터,02-416-7512,서울특별시 송파구 신천동 11번지 4호 잠실 푸르지오 월드마크 상가
